dept,word,count
SPD,andrew,339
SPD,draft,339
SPD,potential,339
SPD,account,339
SPD,pass,337
SPD,content,337
SPD,leslie,336
SPD,thereto,335
SPD,notification,334
SPD,actual,334
SPD,trail,333
SPD,community,333
SPD,while,333
SPD,supervisor,331
SPD,involved,331
SPD,writing,329
SPD,moore,328
SPD,rule,327
SPD,history,325
SPD,cite,325
SPD,final,325
SPD,additionally,325
SPD,detailed,323
SPD,direction,322
SPD,necessary,321
SPD,perry,321
SPD,opinion,321
SPD,larceny,319
SPD,receipt,319
SPD,statistic,318
SPD,metadata,318
SPD,decision,318
SPD,pedestrian,317
SPD,story,317
SPD,shooting,317
SPD,similar,316
SPD,schedule,316
SPD,legislation,314
SPD,offense,314
SPD,certify,314
SPD,explanation,313
SPD,cell,312
SPD,hirschler,312
SPD,pay,312
SPD,face,311
SPD,relevant,311
SPD,auto,310
SPD,theft,310
SPD,audit,309
SPD,base,307
SPD,edward,306
SPD,dept,305
SPD,development,305
SPD,kind,304
SPD,high,304
SPD,tree,304
SPD,cooperation,304
SPD,internet,301
SPD,car,300
SPD,house,300
SPD,procedure,299
SPD,close,299
SPD,found,299
SPD,track,299
SPD,brown,299
SPD,kurt,299
SPD,road,299
SPD,civil,297
SPD,define,297
SPD,argue,296
SPD,lobby,293
SPD,representative,293
SPD,tell,293
SPD,sidewalk,293
SPD,term,292
SPD,disciplinary,289
SPD,control,289
SPD,repair,288
SPD,kathleen,288
SPD,committee,288
SPD,death,287
SPD,possess,287
SPD,physical,287
SPD,appreciate,286
SPD,down,286
SPD,row,283
SPD,income,283
SPD,anticipate,283
SPD,analysis,283
SPD,able,283
SPD,likely,282
SPD,green,282
SPD,child,281
SPD,fulfil,281
SPD,start,281
SPD,pair,278
SPD,free,277
SPD,operate,277
SPD,status,277
SPD,allege,276
SPD,expedite,276
SPD,sheriff,276
SPD,land,275
SPD,services,275
SPD,citizen,275
SPD,resolution,274
SPD,martin,273
SPD,unable,273
SPD,manual,273
SPD,block,272
SPD,director,269
SPD,sewer,269
SPD,advise,269
SPD,perform,268
SPD,hearing,268
SPD,today,267
SPD,correct,267
SPD,kit,267
SPD,bicycle,266
